director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Warren Sheppard,Jennifer Hale,Randy Jay Burrell,Vincent De Paul,ActionRomanceSport,fight to the finish,Jennifer Hale Randy Jay Burrell Vincent De Paul Warren Sheppard ActionRomanceSport
Darren Lynn Bousman,Paul Sorvino,Barry Bostwick,Terrance Zdunich,HorrorMusical,alleluia! the devil's carnival,Paul Sorvino Barry Bostwick Terrance Zdunich Darren Lynn Bousman HorrorMusical
Justin Paul Miller,Mary Kate Wiles,Jennifer Landa,Felix Avitia,ComedyMysteryThriller,the sound and the shadow,Mary Kate Wiles Jennifer Landa Felix Avitia Justin Paul Miller ComedyMysteryThriller
Joel Paul Reisig,Carrie Bradstreet,Joel Paul Reisig,Yassie Hawkes,Family,rodeo girl,Carrie Bradstreet Joel Paul Reisig Yassie Hawkes Joel Paul Reisig Family
Catherine Gund,Elizabeth Streb,Sarah Callan,Laura Flanders,ActionBiographyDocumentarySport,born to fly: elizabeth streb vs. gravity,Elizabeth Streb Sarah Callan Laura Flanders Catherine Gund ActionBiographyDocumentarySport
Luke Dye,Mike Stanley,Jeff Delaney,Jamison Stalsworth,Family,the little ponderosa zoo,Mike Stanley Jeff Delaney Jamison Stalsworth Luke Dye Family
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,AdventureFamilyFantasy,oz the great and powerful,Tim Holmes Mila Kunis James Franco Sam Raimi AdventureFamilyFantasy
Michael Herz,Patrick Kilpatrick,Mark Torgl,Pat Ryan,ActionComedyHorrorSci-Fi,the toxic avenger,Patrick Kilpatrick Mark Torgl Pat Ryan Michael Herz ActionComedyHorrorSci-Fi
Matty Rich,Lawrence Gilliard Jr.,George T. Odom,Matty Rich,CrimeDrama,straight out of brooklyn,Lawrence Gilliard Jr. George T. Odom Matty Rich Matty Rich CrimeDrama
Paul Greengrass,James Nesbitt,Nicholas Farrell,Tim Pigott-Smith,DramaHistoryWar,bloody sunday,James Nesbitt Nicholas Farrell Tim Pigott-Smith Paul Greengrass DramaHistoryWar
Alec Asten,Luis Sanchez,Dennis L.A. White,Fredro Starr,Action,diamond ruff,Luis Sanchez Dennis L.A. White Fredro Starr Alec Asten Action
Hans Canosa,Olivia Wilde,Thomas Lennon,Nora Zehetner,ComedyDramaRomance,conversations with other women,Olivia Wilde Thomas Lennon Nora Zehetner Hans Canosa ComedyDramaRomance
Lloyd Kaufman,John Karyus,Lloyd Kaufman,Kate Graham,ComedyHorrorMusical,poultrygeist: night of the chicken dead,John Karyus Lloyd Kaufman Kate Graham Lloyd Kaufman ComedyHorrorMusical
Matthew Watts,Jennifer Lafleur,Cheyenne Jackson,Michael Stahl-David,ComedyRomance,mutual friends,Jennifer Lafleur Cheyenne Jackson Michael Stahl-David Matthew Watts ComedyRomance
Lloyd Bacon,Ginger Rogers,Dick Powell,George Brent,ComedyMusicalRomance,42nd street,Ginger Rogers Dick Powell George Brent Lloyd Bacon ComedyMusicalRomance
Joe Kenemore,Bob Proctor,Jack Canfield,Eric Worre,Documentary,rise of the entrepreneur: the search for a better way,Bob Proctor Jack Canfield Eric Worre Joe Kenemore Documentary
Whit Stillman,Chris Eigeman,Taylor Nichols,Ellia Thompson,ComedyDramaRomance,metropolitan,Chris Eigeman Taylor Nichols Ellia Thompson Whit Stillman ComedyDramaRomance
Kay Pollak,Michael Nyqvist,Frida Hallgren,Nils-Anders Vallgårda,ComedyDramaMusicRomance,as it is in heaven,Michael Nyqvist Frida Hallgren Nils-Anders Vallgårda Kay Pollak ComedyDramaMusicRomance
Eric England,Jack E. Curenton,Ace Marrero,Alan Pietruszewski,DramaHorrorMysteryThriller,roadside,Jack E. Curenton Ace Marrero Alan Pietruszewski Eric England DramaHorrorMysteryThriller
Jared Hess,Jon Heder,Diedrich Bader,Jon Gries,Comedy,napoleon dynamite,Jon Heder Diedrich Bader Jon Gries Jared Hess Comedy
Jeremy Saulnier,Devin Ratray,Eve Plumb,Amy Hargreaves,CrimeDramaThriller,blue ruin,Devin Ratray Eve Plumb Amy Hargreaves Jeremy Saulnier CrimeDramaThriller
Oren Peli,Micah Sloat,Ashley Palmer,Amber Armstrong,Horror,paranormal activity,Micah Sloat Ashley Palmer Amber Armstrong Oren Peli Horror
Stacy Peralta,Tony Alva,Jay Adams,Jeff Ament,DocumentarySport,dogtown and z-boys,Tony Alva Jay Adams Jeff Ament Stacy Peralta DocumentarySport
Terry Gilliam,Eric Idle,Michael Palin,Terry Jones,AdventureComedyFantasy,monty python and the holy grail,Eric Idle Michael Palin Terry Jones Terry Gilliam AdventureComedyFantasy
Richard Glatzer,Emily Rios,Jesse Garcia,Alicia Sixtos,Drama,quinceañera,Emily Rios Jesse Garcia Alicia Sixtos Richard Glatzer Drama
Sue Corcoran,Tony Doupe,Sue Corcoran,David Frederick White,ComedyFantasyHorrorMusical,gory gory hallelujah,Tony Doupe Sue Corcoran David Frederick White Sue Corcoran ComedyFantasyHorrorMusical
unknown,Sendhil Ramamurthy,Masi Oka,Greg Grunberg,DramaFantasySci-FiThriller,heroes            ,Sendhil Ramamurthy Masi Oka Greg Grunberg unknown DramaFantasySci-FiThriller
Jonathan Caouette,Greg Ayres,Jonathan Caouette,Renee Leblanc,BiographyDocumentary,tarnation,Greg Ayres Jonathan Caouette Renee Leblanc Jonathan Caouette BiographyDocumentary
Ray Griggs,Bill Farmer,Chris Cox,Mike Huckabee,Documentary,i want your money,Bill Farmer Chris Cox Mike Huckabee Ray Griggs Documentary
Matt Jackson,Kane Hodder,Paul Elia,Alex Sanborn,ComedyHorror,love in the time of monsters,Kane Hodder Paul Elia Alex Sanborn Matt Jackson ComedyHorror
Lucio Fulci,Catriona MacColl,David Warbeck,Al Cliver,Horror,the beyond,Catriona MacColl David Warbeck Al Cliver Lucio Fulci Horror
unknown,Brendon Small,Ron Lynch,Melissa Bardin Galsky,AnimationComedyDrama,home movies            ,Brendon Small Ron Lynch Melissa Bardin Galsky unknown AnimationComedyDrama
Tom Vaughan,Treat Williams,Andrew Daly,Michelle Krusiec,ComedyRomance,what happens in vegas,Treat Williams Andrew Daly Michelle Krusiec Tom Vaughan ComedyRomance
Paul Fox,Dov Tiefenbach,Jeff Seymour,Gordon Currie,HorrorThriller,the dark hours,Dov Tiefenbach Jeff Seymour Gordon Currie Paul Fox HorrorThriller
Stephen Frears,Saeed Jaffrey,Roshan Seth,Garry Cooper,ComedyDramaRomance,my beautiful laundrette,Saeed Jaffrey Roshan Seth Garry Cooper Stephen Frears ComedyDramaRomance
Ari Kirschenbaum,R. Brandon Johnson,Adam LeFevre,Desmond Askew,DramaHorrorMysteryThriller,fabled,R. Brandon Johnson Adam LeFevre Desmond Askew Ari Kirschenbaum DramaHorrorMysteryThriller
Cassandra Nicolaou,Katharine Isabelle,Michelle Nolden,Gabriel Hogan,DramaThriller,show me,Katharine Isabelle Michelle Nolden Gabriel Hogan Cassandra Nicolaou DramaThriller
Ingmar Bergman,Liv Ullmann,Ingrid Thulin,Erland Josephson,Drama,cries & whispers,Liv Ullmann Ingrid Thulin Erland Josephson Ingmar Bergman Drama
D.W. Griffith,Lillian Gish,Mae Marsh,Walter Long,DramaHistoryWar,intolerance: love's struggle throughout the ages,Lillian Gish Mae Marsh Walter Long D.W. Griffith DramaHistoryWar
Roger Nygard,Walter Koenig,DeForest Kelley,James Doohan,Documentary,trekkies,Walter Koenig DeForest Kelley James Doohan Roger Nygard Documentary
Harry Beaumont,Anita Page,Bessie Love,Charles King,MusicalRomance,the broadway melody,Anita Page Bessie Love Charles King Harry Beaumont MusicalRomance
Sam Raimi,Ted Raimi,Betsy Baker,Ellen Sandweiss,FantasyHorror,the evil dead,Ted Raimi Betsy Baker Ellen Sandweiss Sam Raimi FantasyHorror
Franck Khalfoun,America Olivo,Nora Arnezeder,Liane Balaban,HorrorThriller,maniac,America Olivo Nora Arnezeder Liane Balaban Franck Khalfoun HorrorThriller
Mor Loushy,Amos Oz,unknown,unknown,DocumentaryHistory,censored voices,Amos Oz unknown unknown Mor Loushy DocumentaryHistory
Henry Alex Rubin,Mark Zupan,Joe Bishop,Andy Cohn,DocumentarySport,murderball,Mark Zupan Joe Bishop Andy Cohn Henry Alex Rubin DocumentarySport
Sam Firstenberg,Michael Dudikoff,Steve James,Larry Poindexter,ActionDrama,american ninja 2: the confrontation,Michael Dudikoff Steve James Larry Poindexter Sam Firstenberg ActionDrama
Doug Block,Carol Block,Ellen Block,Mike Block,Documentary,51 birch street,Carol Block Ellen Block Mike Block Doug Block Documentary
unknown,Billy Burke,Tracy Spiridakos,David Lyons,ActionAdventureDramaSci-Fi,revolution            ,Billy Burke Tracy Spiridakos David Lyons unknown ActionAdventureDramaSci-Fi
Chad Kapper,Tom E. Nicholson,Natalie Welch,Christian Kapper,FamilySci-Fi,rotor dr1,Tom E. Nicholson Natalie Welch Christian Kapper Chad Kapper FamilySci-Fi
John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,HorrorThriller,halloween,Jamie Lee Curtis Donald Pleasence P.J. Soles John Carpenter HorrorThriller
Sidney Lumet,Jack Warden,Lee J. Cobb,John Fiedler,CrimeDrama,12 angry men,Jack Warden Lee J. Cobb John Fiedler Sidney Lumet CrimeDrama
Paul Fierlinger,Isabella Rossellini,Peter Gerety,Lynn Redgrave,AnimationDrama,my dog tulip,Isabella Rossellini Peter Gerety Lynn Redgrave Paul Fierlinger AnimationDrama
Frank Capra,Claudette Colbert,Alan Hale,Walter Connolly,ComedyRomance,it happened one night,Claudette Colbert Alan Hale Walter Connolly Frank Capra ComedyRomance
Yorgos Lanthimos,Angeliki Papoulia,Mary Tsoni,Sissy Petropoulou,DramaThriller,dogtooth,Angeliki Papoulia Mary Tsoni Sissy Petropoulou Yorgos Lanthimos DramaThriller
Lauren Lazin,James Cagney,Gary Coleman,Todd Bridges,BiographyDocumentaryMusic,tupac: resurrection,James Cagney Gary Coleman Todd Bridges Lauren Lazin BiographyDocumentaryMusic
Gavin O'Connor,Kimberly J. Brown,Janet McTeer,Lois Smith,ComedyDrama,tumbleweeds,Kimberly J. Brown Janet McTeer Lois Smith Gavin O'Connor ComedyDrama
Gregory Widen,Viggo Mortensen,Adam Goldberg,Virginia Madsen,ActionFantasyHorrorMysteryThriller,the prophecy,Viggo Mortensen Adam Goldberg Virginia Madsen Gregory Widen ActionFantasyHorrorMysteryThriller
Cédric Klapisch,Simon Abkarian,Zinedine Soualem,Jane Bradbury,ComedyRomance,when the cat's away,Simon Abkarian Zinedine Soualem Jane Bradbury Cédric Klapisch ComedyRomance
Peter Hedges,Oliver Platt,Adrian Martinez,Derek Luke,ComedyDrama,pieces of april,Oliver Platt Adrian Martinez Derek Luke Peter Hedges ComedyDrama
Niall Johnson,Kevin Howarth,Mark Caven,Thierry Harcourt,Drama,the big swap,Kevin Howarth Mark Caven Thierry Harcourt Niall Johnson Drama
Kelly Reichardt,Daniel London,Lucy,Will Oldham,Drama,old joy,Daniel London Lucy Will Oldham Kelly Reichardt Drama
Kelly Reichardt,John Robinson,Lucy,Will Oldham,Drama,wendy and lucy,John Robinson Lucy Will Oldham Kelly Reichardt Drama
Eric Mendelsohn,Embeth Davidtz,Edie Falco,Kathryn Erbe,Drama,3 backyards,Embeth Davidtz Edie Falco Kathryn Erbe Eric Mendelsohn Drama
Jean-Luc Godard,Jean-Paul Belmondo,Anna Karina,Graziella Galvani,CrimeDramaRomance,pierrot le fou,Jean-Paul Belmondo Anna Karina Graziella Galvani Jean-Luc Godard CrimeDramaRomance
Florence Ayisi,Vera Ngassa,Beatrice Ntuba,unknown,Documentary,sisters in law,Vera Ngassa Beatrice Ntuba unknown Florence Ayisi Documentary
Pan Nalin,unknown,unknown,unknown,Documentary,ayurveda: art of being,unknown unknown unknown Pan Nalin Documentary
Michael Roemer,Yaphet Kotto,Gloria Foster,Ivan Dixon,DramaRomance,nothing but a man,Yaphet Kotto Gloria Foster Ivan Dixon Michael Roemer DramaRomance
Jesse Peretz,Robert John Burke,Eli Marienthal,Natasha Gregson Wagner,DramaRomance,"first love, last rites",Robert John Burke Eli Marienthal Natasha Gregson Wagner Jesse Peretz DramaRomance
Eddie O'Flaherty,Don Wallace,Eddie Jones,Christina Chambers,DramaSport,fighting tommy riley,Don Wallace Eddie Jones Christina Chambers Eddie O'Flaherty DramaSport
Babar Ahmed,Lalaine,Alexander Wraith,Darren Kendrick,ActionThriller,royal kill,Lalaine Alexander Wraith Darren Kendrick Babar Ahmed ActionThriller
Julie Taymor,Jim Sturgess,T.V. Carpio,Robert Clohessy,DramaFantasyMusicalRomance,across the universe,Jim Sturgess T.V. Carpio Robert Clohessy Julie Taymor DramaFantasyMusicalRomance
John D. Hancock,Trish Basinger,Elizabeth Stenholt,Mary Norwood,DramaMusic,the looking glass,Trish Basinger Elizabeth Stenholt Mary Norwood John D. Hancock DramaMusic
Paul Bartel,Sylvester Stallone,David Carradine,Martin Kove,ActionComedySci-FiSport,death race 2000,Sylvester Stallone David Carradine Martin Kove Paul Bartel ActionComedySci-FiSport
Bruce Dellis,Tatyana Ali,Ricky Schroder,Jon Polito,Thriller,locker 13,Tatyana Ali Ricky Schroder Jon Polito Bruce Dellis Thriller
Pece Dingo,Michael Des Barres,Wilhelm von Homburg,Thom Mathews,Horror,midnight cabaret,Michael Des Barres Wilhelm von Homburg Thom Mathews Pece Dingo Horror
Jerome Elston Scott,Taran Killam,Joanna Cassidy,Ryan Carnes,ComedyDramaRomance,anderson's cross,Taran Killam Joanna Cassidy Ryan Carnes Jerome Elston Scott ComedyDramaRomance
Étienne Faure,Rumi Missabu,Pierre Prieur,Raquel Nave,DramaMusicalRomance,bizarre,Rumi Missabu Pierre Prieur Raquel Nave Étienne Faure DramaMusicalRomance
Herb Freed,Linnea Quigley,Carmen Argenziano,Vanna White,HorrorMystery,graduation day,Linnea Quigley Carmen Argenziano Vanna White Herb Freed HorrorMystery
Jack Perez,Kevin Corrigan,Barry Bostwick,Ahmed Best,ComedyCrimeDramaHorrorMysteryThriller,some guy who kills people,Kevin Corrigan Barry Bostwick Ahmed Best Jack Perez ComedyCrimeDramaHorrorMysteryThriller
Craig Zobel,Dreama Walker,Matt Servitto,James McCaffrey,BiographyCrimeDramaThriller,compliance,Dreama Walker Matt Servitto James McCaffrey Craig Zobel BiographyCrimeDramaThriller
Kevin Smith,Matt Damon,Ethan Suplee,Joey Lauren Adams,ComedyDramaRomance,chasing amy,Matt Damon Ethan Suplee Joey Lauren Adams Kevin Smith ComedyDramaRomance
Nicole Holofcener,Aunjanue Ellis,Brenda Blethyn,Raven Goodwin,ComedyDramaRomance,lovely & amazing,Aunjanue Ellis Brenda Blethyn Raven Goodwin Nicole Holofcener ComedyDramaRomance
Ken Del Conte,Hector Echavarria,Robert Miano,Ron Roggé,ActionAdventureMysteryRomanceThriller,death calls,Hector Echavarria Robert Miano Ron Roggé Ken Del Conte ActionAdventureMysteryRomanceThriller
Justin Lin,Parry Shen,Jason Tobin,Collin Kahey,CrimeDramaRomance,better luck tomorrow,Parry Shen Jason Tobin Collin Kahey Justin Lin CrimeDramaRomance
Maria Maggenti,Nicole Ari Parker,Laurel Holloman,Stephanie Berry,ComedyDramaRomance,the incredibly true adventure of two girls in love,Nicole Ari Parker Laurel Holloman Stephanie Berry Maria Maggenti ComedyDramaRomance
Miguel Arteta,Lupe Ontiveros,Mike White,Chris Weitz,ComedyDrama,chuck & buck,Lupe Ontiveros Mike White Chris Weitz Miguel Arteta ComedyDrama
Piyush Dinker Pandya,Purva Bedi,Rizwan Manji,Anil Kumar,ComedyDramaRomance,american desi,Purva Bedi Rizwan Manji Anil Kumar Piyush Dinker Pandya ComedyDramaRomance
Daniel Columbie,Keri Maletto,Nicholas Simmons,Barbie Castro,ActionCrimeDrama,amidst the devil's wings,Keri Maletto Nicholas Simmons Barbie Castro Daniel Columbie ActionCrimeDrama
Vincenzo Natali,David Hewlett,Julian Richings,Nicole de Boer,MysterySci-FiThriller,cube,David Hewlett Julian Richings Nicole de Boer Vincenzo Natali MysterySci-FiThriller
Emma-Kate Croghan,Radha Mitchell,Frances O'Connor,Matt Day,ComedyRomance,love and other catastrophes,Radha Mitchell Frances O'Connor Matt Day Emma-Kate Croghan ComedyRomance
Bill Plympton,Charis Michelsen,Bill Martone,Richard Spore,AnimationComedyDramaFantasySci-Fi,i married a strange person!,Charis Michelsen Bill Martone Richard Spore Bill Plympton AnimationComedyDramaFantasySci-Fi
Greg Harrison,Amir Talai,Anne Archer,Nora Dunn,DramaMysteryThriller,november,Amir Talai Anne Archer Nora Dunn Greg Harrison DramaMysteryThriller
Drake Doremus,Jennifer Lawrence,Charlie Bewley,Finola Hughes,DramaRomance,like crazy,Jennifer Lawrence Charlie Bewley Finola Hughes Drake Doremus DramaRomance
Al Franklin,Marshal Hilton,Steffinnie Phrommany,Clint Jung,Horror,teeth and blood,Marshal Hilton Steffinnie Phrommany Clint Jung Al Franklin Horror
Allison Anders,Ally Sheedy,Rosanna Arquette,John Doe,ComedyMusic,sugar town,Ally Sheedy Rosanna Arquette John Doe Allison Anders ComedyMusic
Michael Kang,Samantha Futerman,Clint Jordan,Jackie Nova,ComedyDrama,the motel,Samantha Futerman Clint Jordan Jackie Nova Michael Kang ComedyDrama
Paul Schrader,Nolan Gerard Funk,Gus Van Sant,James Deen,DramaThriller,the canyons,Nolan Gerard Funk Gus Van Sant James Deen Paul Schrader DramaThriller
unknown,Shirley Henderson,James Norton,Sarah Lancashire,CrimeDrama,happy valley            ,Shirley Henderson James Norton Sarah Lancashire unknown CrimeDrama
Lori Silverbush,Judy Marte,Flaco Navaja,Dominic Colón,Drama,on the outs,Judy Marte Flaco Navaja Dominic Colón Lori Silverbush Drama
Jeff Nichols,Michael Abbott Jr.,Natalie Canerday,Travis Smith,DramaThriller,shotgun stories,Michael Abbott Jr. Natalie Canerday Travis Smith Jeff Nichols DramaThriller
Stuart Hazeldine,Colin Salmon,Luke Mably,Pollyanna McIntosh,MysteryThriller,exam,Colin Salmon Luke Mably Pollyanna McIntosh Stuart Hazeldine MysteryThriller
Hilary Brougher,James Urbaniak,Samantha Buck,Terumi Matthews,Sci-Fi,the sticky fingers of time,James Urbaniak Samantha Buck Terumi Matthews Hilary Brougher Sci-Fi
Rachel Goldenberg,Dustin Fitzsimons,Mark Hengst,Debra Lynn Hull,DramaMusical,sunday school musical,Dustin Fitzsimons Mark Hengst Debra Lynn Hull Rachel Goldenberg DramaMusical
Corbin Bernsen,Corbin Bernsen,Lorne Cardinal,Kirsten Collins,Drama,rust,Corbin Bernsen Lorne Cardinal Kirsten Collins Corbin Bernsen Drama
Jamin Winans,Eme Ikwuakor,Marty Lindsey,Jessica Duffy,ActionDramaFantasySci-Fi,ink,Eme Ikwuakor Marty Lindsey Jessica Duffy Jamin Winans ActionDramaFantasySci-Fi
Tom Seidman,Florence Henderson,Derek Brandon,Charles Irving Beale,DramaFamily,the christmas bunny,Florence Henderson Derek Brandon Charles Irving Beale Tom Seidman DramaFamily
Jason Naumann,Victoria Jackson,Kate Flannery,Tim Bagley,ComedyShort,jesus people,Victoria Jackson Kate Flannery Tim Bagley Jason Naumann ComedyShort
Matt Cimber,Stacy Keach,June Lockhart,Stuart Whitman,CrimeDrama,butterfly,Stacy Keach June Lockhart Stuart Whitman Matt Cimber CrimeDrama
Sam Martin,Sam Adams,Steve Duin,Jeff Jacob,Documentary,undivided,Sam Adams Steve Duin Jeff Jacob Sam Martin Documentary
Andrew Hyatt,Noah Segan,Brit Morgan,Sedona James,HorrorThriller,the frozen,Noah Segan Brit Morgan Sedona James Andrew Hyatt HorrorThriller
Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,FantasyRomance,the love letter,Jennifer Jason Leigh Campbell Scott Estelle Parsons Dan Curtis FantasyRomance
Joel Paul Reisig,Joshua Ray Bell,Dana Blackstone,Annelyse Ahmad,Family,horse camp,Joshua Ray Bell Dana Blackstone Annelyse Ahmad Joel Paul Reisig Family
Kristin Rizzo,Esai Morales,Robert Davi,Elaine Hendrix,Documentary,give me shelter,Esai Morales Robert Davi Elaine Hendrix Kristin Rizzo Documentary
King Vidor,John Gilbert,Renée Adorée,Claire Adams,DramaRomanceWar,the big parade,John Gilbert Renée Adorée Claire Adams King Vidor DramaRomanceWar
Ward Roberts,Sid Haig,Jacob Zachar,Travis Betz,Comedy,little big top,Sid Haig Jacob Zachar Travis Betz Ward Roberts Comedy
Zoran Lisinac,Matthew Emerick,Brock Baker,Sheldon Bailey,ComedyMusicRomance,along the roadside,Matthew Emerick Brock Baker Sheldon Bailey Zoran Lisinac ComedyMusicRomance
Nicolas Winding Refn,Tom Hardy,James Lance,Matt King,ActionBiographyCrimeDrama,bronson,Tom Hardy James Lance Matt King Nicolas Winding Refn ActionBiographyCrimeDrama
James O'Brien,Mark Fantasia,Vivian Lamolli,Greg Jackson,AdventureDramaFantasyThrillerWestern,western religion,Mark Fantasia Vivian Lamolli Greg Jackson James O'Brien AdventureDramaFantasyThrillerWestern
Tom Putnam,Brendan Doogie Milewski,Donald Austin,Craig Dougherty,Documentary,burn,Brendan Doogie Milewski Donald Austin Craig Dougherty Tom Putnam Documentary
Jon Shear,Dan Futterman,Josh Hamilton,Matt Keeslar,Drama,urbania,Dan Futterman Josh Hamilton Matt Keeslar Jon Shear Drama
Al Silliman Jr.,Christina Hart,Nancy Ison,William Condos,ComedyDrama,the stewardesses,Christina Hart Nancy Ison William Condos Al Silliman Jr. ComedyDrama
Eugène Lourié,Kenneth Tobey,Cecil Kellaway,Ross Elliott,AdventureHorrorSci-Fi,"the beast from 20,000 fathoms",Kenneth Tobey Cecil Kellaway Ross Elliott Eugène Lourié AdventureHorrorSci-Fi
Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,AdventureDramaFamilyFantasySci-Fi,"20,000 leagues under the sea",James Mason Robert J. Wilke Paul Lukas Richard Fleischer AdventureDramaFamilyFantasySci-Fi
George Miller,Hugh Keays-Byrne,Steve Bisley,Joanne Samuel,ActionAdventureSci-FiThriller,mad max,Hugh Keays-Byrne Steve Bisley Joanne Samuel George Miller ActionAdventureSci-FiThriller
Doug Liman,Jon Favreau,Alex Désert,Blake Lindsley,ComedyDrama,swingers,Jon Favreau Alex Désert Blake Lindsley Doug Liman ComedyDrama
Sergio Leone,Clint Eastwood,Gian Maria Volontè,Aldo Sambrell,ActionDramaWestern,a fistful of dollars,Clint Eastwood Gian Maria Volontè Aldo Sambrell Sergio Leone ActionDramaWestern
Lowell Sherman,Mae West,Gilbert Roland,Louise Beavers,ComedyDramaHistoryMusicalRomance,she done him wrong,Mae West Gilbert Roland Louise Beavers Lowell Sherman ComedyDramaHistoryMusicalRomance
Maurizio Benazzo,The Dalai Lama,Jasper Johal,Swami Krishnanad,Documentary,short cut to nirvana: kumbh mela,The Dalai Lama Jasper Johal Swami Krishnanad Maurizio Benazzo Documentary
David G. Evans,Michael Joiner,Chris Thomas,Michael Higgenbottom,Drama,the grace card,Michael Joiner Chris Thomas Michael Higgenbottom David G. Evans Drama
Ava DuVernay,Omari Hardwick,David Oyelowo,Lorraine Toussaint,Drama,middle of nowhere,Omari Hardwick David Oyelowo Lorraine Toussaint Ava DuVernay Drama
Tom Tykwer,Devid Striesow,Sebastian Schipper,Sophie Rois,ComedyDramaRomance,3,Devid Striesow Sebastian Schipper Sophie Rois Tom Tykwer ComedyDramaRomance
Sherman Alexie,William Joseph Elk III,Leo Rossi,Cynthia Geary,DramaMusic,the business of fancydancing,William Joseph Elk III Leo Rossi Cynthia Geary Sherman Alexie DramaMusic
Justin Dillon,Matisyahu,Natasha Bedingfield,Madeleine Albright,DocumentaryHistoryMusic,call + response,Matisyahu Natasha Bedingfield Madeleine Albright Justin Dillon DocumentaryHistoryMusic
Steven Soderbergh,Channing Tatum,David Costabile,Katie Lowes,CrimeDramaThriller,side effects,Channing Tatum David Costabile Katie Lowes Steven Soderbergh CrimeDramaThriller
Stevan Mena,R. Brandon Johnson,Stevan Mena,Richard Glover,CrimeHorrorMysteryThriller,malevolence,R. Brandon Johnson Stevan Mena Richard Glover Stevan Mena CrimeHorrorMysteryThriller
Adam Rifkin,Marri Savinar,Adam Rifkin,Bethany Blakey,ComedyDrama,shooting the warwicks,Marri Savinar Adam Rifkin Bethany Blakey Adam Rifkin ComedyDrama
Eric Valette,Melanie Papalia,Ryan Kennedy,John Reardon,HorrorSci-FiThriller,super hybrid,Melanie Papalia Ryan Kennedy John Reardon Eric Valette HorrorSci-FiThriller
Jay Duplass,Greta Gerwig,Jennifer Lafleur,Elise Muller,ComedyDramaHorrorRomance,baghead,Greta Gerwig Jennifer Lafleur Elise Muller Jay Duplass ComedyDramaHorrorRomance
Livingston Oden,Susan Chambers,Victoria Lachelle,Ali Daniels,ComedyHorrorMysteryThriller,solitude,Susan Chambers Victoria Lachelle Ali Daniels Livingston Oden ComedyHorrorMysteryThriller
Chris Marker,Marina Vlady,Bertrand Cantat,Léon Schwartzenberg,Documentary,the case of the grinning cat,Marina Vlady Bertrand Cantat Léon Schwartzenberg Chris Marker Documentary
Carl Theodor Dreyer,Hanne Aagesen,Sylvia Eckhausen,Ejner Federspiel,DramaFantasy,ordet,Hanne Aagesen Sylvia Eckhausen Ejner Federspiel Carl Theodor Dreyer DramaFantasy
Marianna Palka,Bryce Dallas Howard,Martin Starr,Jason Ritter,ComedyDramaRomance,good dick,Bryce Dallas Howard Martin Starr Jason Ritter Marianna Palka ComedyDramaRomance
Richard Schenkman,William Katt,John Billingsley,David Lee Smith,DramaRomanceSci-Fi,the man from earth,William Katt John Billingsley David Lee Smith Richard Schenkman DramaRomanceSci-Fi
Ricki Stern,Darryl Hunt,Evelyn Jefferson,John Reeves,CrimeDocumentary,the trials of darryl hunt,Darryl Hunt Evelyn Jefferson John Reeves Ricki Stern CrimeDocumentary
Nadia Tass,Mia Farrow,Jordan Bridges,Bruce Gooch,DramaFamily,an american girl holiday,Mia Farrow Jordan Bridges Bruce Gooch Nadia Tass DramaFamily
James Kerwin,John Newton,Chase Masterson,H.M. Wynant,DramaMusicMysteryRomanceSci-Fi,yesterday was a lie,John Newton Chase Masterson H.M. Wynant James Kerwin DramaMusicMysteryRomanceSci-Fi
C. Fraser Press,Elaine Bromka,Robert Turano,Matthew Gumley,ComedyDramaMusic,theresa is a mother,Elaine Bromka Robert Turano Matthew Gumley C. Fraser Press ComedyDramaMusic
Rania Attieh,Paul Hickert,Robin Bartlett,Rebecca Dayan,DramaSci-FiThriller,h.,Paul Hickert Robin Bartlett Rebecca Dayan Rania Attieh DramaSci-FiThriller
Sharon Greytak,Sally Kirkland,Alex Emanuel,Elaine Bromka,Drama,archaeology of a woman,Sally Kirkland Alex Emanuel Elaine Bromka Sharon Greytak Drama
Majid Majidi,Bahare Seddiqi,Amir Farrokh Hashemian,Mohammad Amir Naji,DramaFamily,children of heaven,Bahare Seddiqi Amir Farrokh Hashemian Mohammad Amir Naji Majid Majidi DramaFamily
Andrew Haigh,Tom Cullen,Chris New,Vauxhall Jermaine,DramaRomance,weekend,Tom Cullen Chris New Vauxhall Jermaine Andrew Haigh DramaRomance
Spike Lee,S. Epatha Merkerson,Joie Lee,Tracy Camilla Johns,ComedyRomance,she's gotta have it,S. Epatha Merkerson Joie Lee Tracy Camilla Johns Spike Lee ComedyRomance
Cary Bell,Abigail Evans,Stacie Evans,Emily Gorell,Documentary,butterfly girl,Abigail Evans Stacie Evans Emily Gorell Cary Bell Documentary
Nicolae Constantin Tanase,Iulia Ciochina,Ana Maria Guran,Ana Vatamanu,Drama,the world is mine,Iulia Ciochina Ana Maria Guran Ana Vatamanu Nicolae Constantin Tanase Drama
