director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Spike Lee,Bernie Mac,Cedric the Entertainer,Steve Harvey,ComedyDocumentary,the original kings of comedy
Tod Williams,Sprague Grayden,Molly Ephraim,Micah Sloat,Horror,paranormal activity 2
Kirk Jones,James Nesbitt,David Kelly,Fionnula Flanagan,Comedy,waking ned devine
Michael Moore,Michael Moore,Dick Clark,Bill Clinton,CrimeDocumentaryDrama,bowling for columbine
Yimou Zhang,Li Gong,Daoming Chen,Ni Yan,Drama,coming home
Jack Sholder,Clu Gulager,Robert Rusler,Marshall Bell,FantasyHorror,a nightmare on elm street 2: freddy's revenge
James Ivory,Julian Sands,Rupert Graves,Denholm Elliott,DramaRomance,a room with a view
James DeMonaco,Rhys Wakefield,Adelaide Kane,Chris Mulkey,HorrorSci-FiThriller,the purge
Scott Derrickson,Danielle Kotch,Victoria Leigh,James Ransone,HorrorMystery,sinister
David Raynr,Nancy O'Dell,Mikki Padilla,Dayna Devon,BiographyComedyDocumentary,martin lawrence live: runteldat
Richard Brooks,Burl Ives,Judith Anderson,Jack Carson,DramaRomance,cat on a hot tin roof
Ted Post,Linda Harrison,Gregory Sierra,Victor Buono,ActionAdventureSci-Fi,beneath the planet of the apes
Charles Martin Smith,Kevin Zegers,Bill Cobbs,Michael Jeter,ComedyDramaFamilySport,air bud
Kunihiko Yuyama,Veronica Taylor,Eric Stuart,Lisa Ortiz,ActionAdventureAnimationFamilyFantasySci-Fi,pokémon 3: the movie
Tom McLoughlin,Tony Goldwyn,Ron Palillo,Vincent Guastaferro,HorrorThriller,jason lives: friday the 13th part vi
David Lean,William Holden,Sessue Hayakawa,Jack Hawkins,AdventureDramaWar,the bridge on the river kwai
Patrick Read Johnson,Ariana Richards,Royal Dano,Tonya Lee Williams,AdventureComedySci-Fi,spaced invaders
Alfred Hitchcock,Ed Lauter,Bruce Dern,William Devane,ComedyThriller,family plot
Billy Wilder,Fred MacMurray,Ray Walston,David White,ComedyDramaRomance,the apartment
Adam Marcus,Kane Hodder,Leslie Jordan,Erin Gray,FantasyHorrorThriller,jason goes to hell: the final friday
Alfred Hitchcock,Tamara Toumanova,Lila Kedrova,David Opatoshu,Thriller,torn curtain
Michel Gondry,Common,Dave Chappelle,Lauryn Hill,ComedyDocumentaryMusic,dave chappelle's block party
John Maclean,Michael Fassbender,Kodi Smit-McPhee,Ben Mendelsohn,Western,slow west
Michael Schultz,Blair Underwood,LisaGay Hamilton,Bobby Brown,ComedyDramaMusic,krush groove
Benny Boom,Omari Hardwick,Donald Faison,Mike Epps,ActionComedyCrime,next day air
Richard Brooks,Shirley Jones,Jean Simmons,Edward Andrews,Drama,elmer gantry
Stanley Kramer,Maximilian Schell,Montgomery Clift,Spencer Tracy,DramaWar,judgment at nuremberg
David Raynr,Donald Faison,Deon Richmond,Countess Vaughn,Comedy,trippin'
unknown,Matthew Senreich,Seth Green,Breckin Meyer,AnimationComedy,robot chicken            
Howard Hawks,Montgomery Clift,Walter Brennan,Harry Carey Jr.,ActionAdventureRomanceWestern,red river
Nnegest Likké,Mo'Nique,Jimmy Jean-Louis,Joyful Drake,Comedy,phat girlz
Richard Linklater,Seamus Davey-Fitzpatrick,Ariane Labed,Athina Rachel Tsangari,DramaRomance,before midnight
Christopher Leitch,John Astin,Robert Neary,Kim Darby,ComedyFantasy,teen wolf too
Don Coscarelli,Angus Scrimm,A. Michael Baldwin,James Le Gros,ActionFantasyHorrorSci-FiThriller,phantasm ii
Michael Schultz,Loretta Devine,Kimberly Elise,Clifton Powell,Drama,woman thou art loosed
Patricia Cardoso,America Ferrera,Lupe Ontiveros,George Lopez,ComedyDrama,real women have curves
unknown,Rachel Griffiths,Jessica De Gouw,Luke Ford,DramaWar,deadline gallipoli            
Deepa Mehta,John Abraham,Lisa Ray,Seema Biswas,DramaRomance,water
Damien O'Donnell,Archie Panjabi,Jimi Mistry,Om Puri,ComedyDrama,east is east
Peter M. Cohen,Callie Thorne,Brian Van Holt,David Heyman,ComedyRomance,whipped
Mira Nair,Indira Varma,Sarita Choudhury,Rekha,CrimeDramaHistoryRomance,kama sutra: a tale of love
Nicole Holofcener,Oliver Platt,Thomas Ian Nicholas,Ann Morgan Guilbert,ComedyDrama,please give
Mel Stuart,Peter Ostrum,Jack Albertson,Julie Dawn Cole,FamilyFantasyMusical,willy wonka & the chocolate factory
Anthony Hickox,Julian Sands,Zach Galligan,Paula Marshall,FantasyHorror,warlock: the armageddon
Tom Schulman,Kristy Swanson,George Hamilton,Dyan Cannon,ComedyCrime,8 heads in a duffel bag
Terrence Malick,Sam Shepard,Stuart Margolin,Richard Libertini,DramaRomance,days of heaven
Jill Sprecher,Matthew McConaughey,Rob McElhenney,Amy Irving,Drama,thirteen conversations about one thing
Darren Stein,Julie Benz,Judy Greer,Jeff Conaway,ComedyCrimeThriller,jawbreaker
Julian Schnabel,Gary Oldman,Michael Wincott,Courtney Love,BiographyDrama,basquiat
Noah Baumbach,Greta Gerwig,Grace Gummer,Vanessa Ray,ComedyDramaRomance,frances ha
Gavin Hood,Terry Pheto,Nambitha Mpumlwana,Rapulana Seiphemo,CrimeDrama,tsotsi
Todd Solondz,Philip Seymour Hoffman,Jon Lovitz,Dylan Baker,ComedyDrama,happiness
George Gallo,Eddie Griffin,Joe Howard,Robert Noble,ComedyDocumentary,dysfunktional family
Kevin Smith,Johnny Depp,Haley Joel Osment,Michael Parks,ComedyDramaHorror,tusk
Chan-wook Park,Min-sik Choi,Ji-tae Yu,Hye-jeong Kang,DramaMysteryThriller,oldboy
David Nixon,Robyn Lively,Michael Bolten,Christopher Schmidt,DramaFamily,letters to god
Jason Eisener,Gregory Smith,Robb Wells,Molly Dunsworth,ActionComedyThriller,hobo with a shotgun
Enrique Begne,Kevin Pollak,Héctor Jiménez,Erick Elias,ActionComedy,compadres
Matthew Bright,Bokeem Woodbine,Dan Hedaya,Robert Peters,ComedyCrimeDramaThriller,freeway
Michael Landon Jr.,William Morgan Sheppard,Kevin Gage,Brianna Brown,DramaFamilyWestern,love's abiding joy
Andrea Arnold,Michael Fassbender,Harry Treadaway,Jason Maza,Drama,fish tank
Whit Stillman,Greta Gerwig,Megalyn Echikunwoke,Zach Woods,ComedyDramaRomance,damsels in distress
unknown,Craig T. Nelson,Colm Feore,Megalyn Echikunwoke,HorrorSci-FiThriller,creature            
Leslye Headland,Kirsten Dunst,Adam Scott,Andrew Rannells,ComedyRomance,bachelorette
unknown,Danny Pino,Megan Hilty,Zach Grenier,ComedyDramaHorrorSci-FiThriller,braindead            
Bobby Roth,Virginia Madsen,Aaron Ashmore,Lindsey Haun,DramaFamilyMusic,brave new girl
Tim Heidecker,Michael Gross,William Atherton,Bob Ross,Comedy,tim and eric's billion dollar movie
Rupert Wyatt,George Kennedy,Cjon Saulsberry,Griffin Cleveland,CrimeDramaThriller,the gambler
unknown,Susan Hampshire,Amanda Mealing,Tim Healy,Drama,the grand            
Marco Kreuzpaintner,Alicja Bachleda,Kostja Ullmann,Robert Stadlober,ComedyDramaRomanceSport,summer storm
Kate Connor,Johnny Pacar,Eric Stoltz,Brendan Fehr,DramaHistoryWar,fort mccoy
Deon Taylor,Matt Cohen,Betsy Russell,Noah Segan,HorrorThriller,chain letter
Jason Alexander,Gretchen Mol,Patti LuPone,Peter Onorati,ComedyDrama,just looking
Xavier Gens,Michael Biehn,Lauren German,Rosanna Arquette,DramaSci-FiThriller,the divide
Conor McPherson,Aidan Quinn,Iben Hjejle,Jim Norton,DramaHorrorRomance,the eclipse
Will Canon,Frank Grillo,Scott Mechlowicz,Aaron Yoo,HorrorThriller,demonic
Philip Zlotorynski,Neil Hopkins,Darren Keefe Reiher,David Douglas,Comedy,my big fat independent movie
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,AdventureFamilyFantasy,alice in wonderland
Lance Kawas,Taylor Negron,Michael Rapaport,Talia Shire,Comedy,the deported
Francesca Gregorini,Tom Everett Scott,Amy Sedaris,Chris Kattan,Drama,tanner hall
Marcio Garcia,John Savage,Kristi Clainos,Emily Nelson,ActionDramaThriller,open road
David Wain,Christopher Meloni,Amy Poehler,Jack McBrayer,Comedy,they came together
Craig Moss,French Stewart,Ashley Martin,Olivia Alexander,Comedy,30 nights of paranormal activity with the devil inside the girl with the dragon tattoo
Michael Jai White,Michael Jai White,Alex Meraz,Jillian Murray,ActionDramaSport,never back down 2: the beatdown
John Boorman,Lee Marvin,Angie Dickinson,Carroll O'Connor,CrimeThriller,point blank
Paolo Monico,Stephanie Szostak,Sarah Rafferty,Salvatore Santone,Comedy,four single fathers
Youssef Delara,Noel Gugliemi,David Bianchi,Jason Priestley,Thriller,enter the dangerous mind
Darin Scott,Julian Morris,Shantel VanSanten,John Robinson,DramaHorrorMysteryThriller,something wicked
Christian Sesma,Bokeem Woodbine,Brooke Newton,Brett Wagner,Thriller,awol-72
Monte Hellman,Everett McGill,Jack Taylor,Fabio Testi,AdventureCrimeDrama,iguana
Kenneth Branagh,Hayley Atwell,Derek Jacobi,Lily James,DramaFamilyFantasyRomance,cinderella
Brian Caunter,Mike Starr,Stacy Keach,Frank Vincent,ActionAdventureCrimeDrama,chicago overcoat
Chris D'Arienzo,Judy Greer,Cybill Shepherd,Shea Whigham,ComedyDramaRomance,barry munday
Walter Salles,Fernanda Montenegro,Matheus Nachtergaele,Othon Bastos,Drama,central station
Frank Capra,Ann-Margret,Glenn Ford,Thomas Mitchell,ComedyDrama,pocketful of miracles
Isaac Florentine,Anthony L. Fernandez,Nick Chinlund,Scott Evans,ActionCrime,close range
Susan Seidelman,Dyan Cannon,Michael Nouri,Brenda Vaccaro,ComedyRomance,boynton beach club
Michael Polish,Olivia Rose Keegan,Patrick Bauchau,Mia Barron,DramaHorrorMysteryThriller,amnesiac
Heidi Ewing,Greg Crowe,James Ransone,Tempestt Bledsoe,Documentary,freakonomics
Richard Donner,Lee Remick,Patrick Troughton,Billie Whitelaw,FantasyHorrorMystery,the omen
Alexandre Aja,Cécile De France,Maïwenn,Oana Pellea,Horror,high tension
Leon Ford,Maeve Dermody,Patrick Brammall,Kelly Paterniti,ComedyDramaRomanceSci-Fi,griff the invisible
Hank Braxtan,Q'orianka Kilcher,Gregory Cruz,Allegra Carpenter,ActionHorrorThriller,unnatural
Craig Brewer,Isaac Hayes,Paula Jai Parker,Elise Neal,CrimeDramaMusic,hustle & flow
Billy Wilder,Nehemiah Persoff,Joe E. Brown,George Raft,ComedyMusicRomance,some like it hot
John Carl Buechler,Kane Hodder,Terry Kiser,William Butler,Horror,friday the 13th part vii: the new blood
Victor Fleming,Margaret Hamilton,Terry,Billie Burke,AdventureFamilyFantasyMusical,the wizard of oz
Mel Brooks,Madeline Kahn,Peter Boyle,Teri Garr,Comedy,young frankenstein
George A. Romero,Megan Park,Shawn Roberts,Joe Dinicol,Horror,diary of the dead
Rajkumar Hirani,Vidya Balan,Sanjay Dutt,Jimmy Shergill,ComedyDramaRomance,lage raho munna bhai
Victor Nunez,Peter Fonda,Patricia Richardson,Vanessa Zima,Drama,ulee's gold
Carroll Ballard,Teri Garr,Kelly Reno,Hoyt Axton,AdventureFamilySport,the black stallion
Rohit Jugraj,Bhavkhandan Singh Rakhra,Neeru Bajwa,Diljit Dosanjh,Romance,sardaar ji
Thorbjørn Christoffersen,Iben Hjejle,Frank Hvam,Casper Christensen,ActionAdventureAnimationComedySci-Fi,journey to saturn
John Ford,Lee Marvin,Cesar Romero,Jack Warden,AdventureComedyRomance,donovan's reef
Alex van Warmerdam,Rijk de Gooyer,Ariane Schluter,Henri Garcin,ComedyDrama,the dress
Victor Fleming,Spencer Tracy,Esther Williams,Irene Dunne,DramaFantasyRomanceWar,a guy named joe
Mel Brooks,Madeline Kahn,David Huddleston,Harvey Korman,ComedyWestern,blazing saddles
Joseph Zito,Judie Aronson,Tom Everett,Kimberly Beck,HorrorThriller,friday the 13th: the final chapter
Pawel Pawlikowski,Joanna Kulig,Agata Trzebuchowska,Agata Kulesza,Drama,ida
James Ivory,Rupert Graves,Denholm Elliott,Simon Callow,DramaRomance,maurice
Frank Sebastiano,Joe Lo Truglio,Laurie Metcalf,Seymour Cassel,ComedySport,beer league
Rand Ravich,Johnny Depp,Charlize Theron,Clea DuVall,DramaSci-FiThriller,the astronaut's wife
Stacy Peralta,Gerry Lopez,Gabrielle Reece,Laird John Hamilton,DocumentaryHistorySport,riding giants
Nacho Vigalondo,Karra Elejalde,Nacho Vigalondo,Bárbara Goenaga,HorrorMysterySci-FiThriller,timecrimes
Hao Ning,Jack Kao,Bo Huang,Zheng Xu,ActionAdventureComedy,silver medallist
Tony Giglio,Brianna Brown,Nick Searcy,Beth Broderick,HorrorThriller,timber falls
Stanley Donen,Rita Moreno,Debbie Reynolds,Cyd Charisse,ComedyMusicalRomance,singin' in the rain
Joe Cross,Joe Cross,Joel Fuhrman,Amy Badberg,Documentary,"fat, sick & nearly dead"
Michael Tiddes,Essence Atkins,Alanna Ubach,J.B. Smoove,ComedyFantasy,a haunted house
Dinesh D'Souza,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,Documentary,2016: obama's america
Rob Zombie,Scout Taylor-Compton,Tyler Mane,Margot Kidder,Horror,halloween ii
Tom Hanks,Tom Hanks,Charlize Theron,Ethan Embry,ComedyDramaMusic,that thing you do!
Tommy Lee Wallace,Tom Atkins,Dan O'Herlihy,Nancy Kyes,HorrorMysterySci-Fi,halloween iii: season of the witch
Don Taylor,Roddy McDowall,M. Emmet Walsh,Sal Mineo,ActionSci-Fi,escape from the planet of the apes
Martin Ritt,Patricia Neal,Melvyn Douglas,Whit Bissell,Drama,hud
Leslie Small,David Jason Perez,La'Princess Jackson,Dana Hanna,ComedyDocumentary,kevin hart: let me explain
Gus Van Sant,Keanu Reeves,Udo Kier,Flea,Drama,my own private idaho
Zach Braff,Armando Riesco,Michael Weston,Jill Flint,ComedyDramaRomance,garden state
Richard Linklater,Hanno Pöschl,Hans Weingartner,Dominik Castell,DramaRomance,before sunrise
Éric Tessier,Patrick Huard,Michel Côté,Jean Pierre Bergeron,ActionDramaHorrorThriller,sur le seuil
Alison Maclean,Billy Crudup,Samantha Morton,Mark Webber,Drama,jesus' son
Alice Wu,Joan Chen,Ato Essandoh,Jessica Hecht,ComedyDramaRomance,saving face
Sarah Gavron,Satish Kaushik,Christopher Simpson,Tannishtha Chatterjee,Drama,brick lane
Jake Schreier,Frank Langella,Joshua Ormond,Ana Gasteyer,ComedyCrimeDramaSci-Fi,robot & frank
Isabel Coixet,Sarah Polley,Julian Richings,Amanda Plummer,DramaRomance,my life without me
James Ponsoldt,Shailene Woodley,Jennifer Jason Leigh,Dayo Okeniyi,ComedyDramaRomance,the spectacular now
Randall Miller,William Hurt,Elden Henson,Michael Bower,ComedyFamilyMusicalRomanceShort,marilyn hotchkiss' ballroom dancing and charm school
Larry Charles,Bill Maher,Tal Bachman,Steve Burg,ComedyDocumentaryWar,religulous
Joshua Tickell,Larry David,Sheryl Crow,George W. Bush,Documentary,fuel
Tim Boxell,Bruce McGill,Diana Scarwid,Tom Bower,Drama,valley of the heart's delight
Rawson Marshall Thurber,Gary Cole,Stephen Root,Joel David Moore,ComedySport,dodgeball: a true underdog story
Michael D. Sellers,Katharine Ross,Carly Schroeder,George Harris,ComedyDramaFamily,eye of the dolphin
Reed Cowan,Dustin Lance Black,Emily Pearson,Gavin Newsom,Documentary,8: the mormon proposition
James Dodson,Larry Miller,Anupam Kher,Shriya Saran,ComedyDramaRomance,the other end of the line
Stefan Ruzowitzky,Benno Fürmann,Rüdiger Vogler,Sebastian Blomberg,HorrorThriller,anatomy
Alex Rivera,Leonor Varela,Jacob Vargas,Tenoch Huerta,DramaRomanceSci-FiThriller,sleep dealer
James Gunn,Linda Cardellini,Rainn Wilson,Paul T. Taylor,ComedyCrimeDrama,super
John Murlowski,Ashley Scott,Piper Mackenzie Harris,Lochlyn Munro,ComedyDramaFamilyRomance,christmas mail
Benni Diez,Clifton Collins Jr.,Cecilia Pillado,David Masterson,ComedyHorror,stung
Danny Perez,Natasha Lyonne,Emmanuel Kabongo,Mark Webber,Horror,antibirth
Spike Lee,Bernie Mac,Harry Lennix,Andre Braugher,DramaHistory,get on the bus
Robby Henson,Marc Blucas,Max Ryan,Justine Waddell,DramaHorrorMysteryThriller,thr3e
Mike Judge,Anthony 'Citric' Campos,Patrick Fischler,David Herman,AdventureComedySci-Fi,idiocracy
Zackary Adler,Simon Merrells,Kevin Leslie,Kris Sommerville,CrimeDrama,the rise of the krays
Shane Meadows,Stephen Graham,Joseph Gilgun,Jack O'Connell,CrimeDrama,this is england
Dominic Burns,Julian Glover,Sean Pertwee,Bianca Brigitte VanDamme,ComedySci-Fi,alien uprising
George Sidney,Esther Williams,Basil Rathbone,Red Skelton,ComedyMusical,bathing beauty
Carmen Marron,Jossara Jinaro,Aimee Garcia,Rene Rosado,DramaMusical,go for it!
Tim McCanlies,Ethan Embry,Michael O'Neill,Alexandra Holden,ComedyDramaFamily,"dancer, texas pop. 81"
George Sidney,Agnes Moorehead,Ava Gardner,Howard Keel,DramaFamilyMusicalRomance,show boat
Mario Van Peebles,Tom Skerritt,Cinda McCain,Luke Perry,Drama,redemption road
Jason Stone,Topher Grace,Ellen Burstyn,Christopher Heyerdahl,Thriller,the calling
Jerry Rees,Jon Lovitz,Phil Hartman,Mindy Sterling,AdventureAnimationComedyFamilyFantasyMusical,the brave little toaster
James Algar,Leopold Stokowski,Deems Taylor,unknown,AnimationFamilyFantasyMusic,fantasia
William Friedkin,Roy Scheider,Fernando Rey,Tony Lo Bianco,ActionCrimeDramaThriller,the french connection
Jaco Booyens,Nicole Smolen,Sebastian Aguilar,Ivette Alvarez,DramaThriller,8 days
Steve Miner,Richard Brooker,Dana Kimmell,Catherine Parks,HorrorThriller,friday the 13th part iii
Danny Steinmann,Tiffany Helm,Melanie Kinnaman,Dominick Brascia,HorrorMysteryThriller,friday the 13th: a new beginning
Michael Landon Jr.,Henry Thomas,Louise Fletcher,A.J. Buckley,Drama,the last sin eater
Jon Gunn,Alexa PenaVega,Delroy Lindo,Madison Pettis,Drama,do you believe?
Hayley Cloake,Brian Austin Green,Kayla Ewell,Linden Ashby,Thriller,impact point
Tay Garnett,Jessica Tandy,Greer Garson,Lionel Barrymore,Drama,the valley of decision
Shyam Madiraju,Jessica Lowndes,Ethan Peck,Brad Schmidt,DramaThriller,eden
Harmage Singh Kalirai,Saeed Jaffrey,Zohra Segal,Shobu Kapoor,ComedyDramaRomance,chicken tikka masala
Rita Merson,Ryan Guzman,James Wolk,Jason Ritter,ComedyMusicRomance,always woodstock
Jon Knautz,Rachel Skarsten,Daniel Kash,Stefanie Drummond,ActionComedyHorror,jack brooks: monster slayer
William Wyler,Myrna Loy,Teresa Wright,Dana Andrews,DramaRomanceWar,the best years of our lives
Larry Clark,Kelli Garner,Nick Stahl,Brad Renfro,BiographyCrimeDrama,bully
Petter Næss,Jørgen Langhelle,Per Christian Ellefsen,Sven Nordin,ComedyDrama,elling
Robert Fontaine,Michael Derek,Arturo Castro,Brad Lee Wind,CrimeDrama,mi america
Jaume Balagueró,Manuela Velasco,Pablo Rosso,Carlos Lasarte,Horror,[rec]
Patricia Cardoso,Rosie Perez,Martha Higareda,Cheyenne Haynes,Drama,lies in plain sight
Dan Perri,Travis Myers,David Proval,Carmen Argenziano,ComedyDramaMysteryRomanceThriller,sharkskin
Neil Mcenery-West,Walter Hendrix III,Michael Chapman,Louise Brealey,HorrorSci-FiThriller,containment
Anthony O'Brien,James Ransone,Maria Doyle Kennedy,Shaun O'Hagan,AdventureDramaWestern,the timber
Terence Young,Robert Shaw,Daniela Bianchi,Lois Maxwell,ActionAdventureThriller,from russia with love
Michael Herz,Phoebe Legere,Jessica Dublin,Lisa Gaye,ActionComedyHorrorSci-Fi,the toxic avenger part ii
unknown,Carroll O'Connor,Alan Autry,Crystal R. Fox,CrimeDramaMystery,in the heat of the night            
Woody Allen,Woody Allen,John Beck,Mews Small,ComedySci-Fi,sleeper
David Robert Mitchell,Maika Monroe,Ruby Harris,Jake Weary,HorrorMystery,it follows
Woody Allen,Woody Allen,John Carradine,Lynn Redgrave,Comedy,everything you always wanted to know about sex * but were afraid to ask
Robert Mulligan,Robert Duvall,Brock Peters,William Windom,CrimeDrama,to kill a mockingbird
George Miller,Vernon Wells,Bruce Spence,Kjell Nilsson,ActionAdventureSci-FiThriller,mad max 2: the road warrior
Chia-Liang Liu,Andy Lau,Anita Mui,Ho-Sung Pak,ActionComedy,the legend of drunken master
Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,CrimeDramaRomance,lolita
Kimberly Peirce,Alicia Goranson,Brendan Sexton III,Jeannetta Arnette,BiographyCrimeDramaRomance,boys don't cry
Chris Kentis,Eric Sheffer Stevens,Julia Taylor Ross,Adam Trese,DramaHorrorMysteryThriller,silent house
Florian Henckel von Donnersmarck,Sebastian Koch,Ulrich Mühe,Martina Gedeck,DramaThriller,the lives of others
Alex Kendrick,Ben Davies,Alex Kendrick,T.C. Stallings,Drama,courageous
Robert Rossen,George C. Scott,Jackie Gleason,Murray Hamilton,DramaSport,the hustler
Jack Conway,Hedy Lamarr,Spencer Tracy,Claudette Colbert,AdventureDramaRomanceWestern,boom town
Sylvain Chomet,Michel Robin,Charles Linton,Béatrice Bonifassi,AnimationComedyDrama,the triplets of belleville
Chris Eyre,Michael Greyeyes,Irene Bedard,Gary Farmer,ComedyDrama,smoke signals
Shari Springer Berman,Josh Hutcherson,James Urbaniak,Daniel Tay,BiographyComedyDrama,american splendor
Richard Linklater,Vernon Dobtcheff,Albert Delpy,Marie Pillet,DramaRomance,before sunset
Alejandro G. Iñárritu,Adriana Barraza,Jorge Salinas,Goya Toledo,DramaThriller,amores perros
Catherine Hardwicke,Holly Hunter,Sarah Clarke,Kip Pardue,Drama,thirteen
Elia Kazan,Dean Stockwell,Celeste Holm,John Garfield,DramaRomance,gentleman's agreement
Debra Granik,Jennifer Lawrence,Shelley Waggener,Lauren Sweetser,Drama,winter's bone
Kevin Macdonald,Nicholas Aaron,Brendan Mackey,Joe Simpson,AdventureDocumentaryDramaSport,touching the void
Henry King,Tyrone Power,Don Ameche,John Carradine,DramaMusicalRomance,alexander's ragtime band
Miranda July,Najarra Townsend,Brad William Henke,Miranda July,ComedyDrama,me and you and everyone we know
Charles Ferguson,Matt Damon,George W. Bush,Barney Frank,CrimeDocumentary,inside job
Max Joseph,Vanessa Lengies,Emily Ratajkowski,Jonny Weston,DramaMusicRomance,we are your friends
Jim Jarmusch,Henry Silva,Gano Grills,Richard Portnow,ActionCrimeDramaThriller,ghost dog: the way of the samurai
David Ayer,J.K. Simmons,Christian Bale,Noel Gugliemi,ActionCrimeDramaThriller,harsh times
Jerry Jameson,David Oyelowo,Leonor Varela,Sydelle Noel,CrimeDramaThriller,captive
Steven Soderbergh,Julia Roberts,Enrico Colantoni,Blair Underwood,ComedyRomance,full frontal
Kevin Tenney,Kathleen Wilhoite,Tawny Kitaen,Rose Marie,HorrorMysteryThriller,witchboard
unknown,Stephen Colbert,Amy Sedaris,Maria Thayer,Comedy,strangers with candy            
Kenneth Branagh,Julie Christie,Brian Blessed,Richard Briers,Drama,hamlet
John Cameron Mitchell,Sook-Yin Lee,Peter Stickles,Raphael Barker,ComedyDramaRomance,shortbus
Ari Folman,Ari Folman,Ronny Dayag,Zahava Solomon,AnimationBiographyDocumentaryDramaHistoryWar,waltz with bashir
Gary Rogers,Noah Danby,Kirby Heyborne,Bruce Newbold,Adventure,"the book of mormon movie, volume 1: the journey"
Charles Ferguson,Campbell Scott,Dick Cheney,Donald Rumsfeld,DocumentaryWar,no end in sight
Marielle Heller,Alexander Skarsgård,David Fine,Austin Lyon,DramaRomance,the diary of a teenage girl
unknown,Anne Hathaway,Jon Tenney,Debrah Farentino,ComedyDramaRomance,get real            
David Sington,John F. Kennedy,Buzz Aldrin,Neil Armstrong,DocumentaryHistory,in the shadow of the moon
Kelly Reichardt,Bruce Greenwood,Zoe Kazan,Shirley Henderson,DramaWestern,meek's cutoff
Fenton Bailey,Hugh M. Hefner,Bill Maher,Linda Lovelace,BiographyDocumentaryHistory,inside deep throat
Bob Giraldi,Danny Aiello,Manny Perez,Ajay Naidu,CrimeDramaRomance,dinner rush
Jill Sprecher,Alanna Ubach,Bob Balaban,Jamie Kennedy,ComedyDrama,clockwatchers
Huck Botko,Matt Bennett,Krysta Rodriguez,Zack Pearlman,Comedy,the virginity hit
Luc Besson,Christopher Lambert,Isabelle Adjani,Jean-Hugues Anglade,ComedyDramaThriller,subway
David Duchovny,Robin Williams,Mark Margolis,Frank Langella,ComedyDrama,house of d
Mitchell Lichtenstein,Jess Weixler,Nathan Parsons,John Hensley,ComedyFantasyHorrorThriller,teeth
Lance Mungia,Jeffrey Falcon,Stephane Gauger,Kim De Angelo,ActionAdventureComedyDramaMusicSci-Fi,six-string samurai
Kundan Shah,Karisma Kapoor,Bobby Deol,Shakti Kapoor,ActionComedyRomanceThriller,hum to mohabbat karega
Michael Dowse,Paul Kaye,Neil Maskell,Kate Magowan,BiographyComedyDramaMusic,it's all gone pete tong
Hue Rhodes,Peter Dinklage,Steve Buscemi,Romany Malco,ComedyDrama,saint john of las vegas
Shane Meadows,Bob Hoskins,Annette Badland,Karl Collins,ComedyDramaRomanceSport,24 7: twenty four seven
Roland Emmerich,Jeremy Irvine,Caleb Landry Jones,Matt Craven,Drama,stonewall
unknown,Joe Morton,Colin Ferguson,Salli Richardson-Whitfield,ComedyDramaSci-Fi,eureka            
Jugal Hansraj,Saif Ali Khan,Sanjay Mishra,Javed Jaffrey,AnimationComedyFamilyRomance,roadside romeo
Danny Provenzano,Vincent Pastore,Frank Vincent,Chuck Zito,CrimeDrama,this thing of ours
Bill Muir,Alex Kendrick,Jansen Panettiere,Tiya Sircar,AdventureFamilyFantasy,the lost medallion: the adventures of billy stone
Richard LaGravenese,Anna Kendrick,Jeremy Jordan,Charly Bivona,ComedyDramaMusicalRomance,the last five years
Noah Buschel,Merritt Wever,Amy Ryan,Paul Adelstein,Drama,the missing person
Brian Yuzna,Melinda Clarke,Kent McCord,Sarah Douglas,HorrorRomanceSci-Fi,return of the living dead iii
Hunter Richards,Jason Statham,Chris Evans,Dane Cook,DramaRomance,london
Laurie Collyer,Brad William Henke,Kate Burton,Michelle Hurst,Drama,sherrybaby
Bruce McCulloch,Martin Starr,Megan Mullally,Chris Penn,ComedyCrime,stealing harvard
Aaron Hann,Jordi Vilasuso,Michael McLafferty,Kaiwi Lyman-Mersereau,DramaHorrorMysterySci-FiThriller,circle
James Watkins,Michael Fassbender,Jack O'Connell,Lorraine Stanley,HorrorThriller,eden lake
Catherine Hardwicke,Frances Fisher,James Kyson,Marlene Forte,Thriller,plush
Phil Claydon,MyAnna Buring,James Corden,Silvia Colloca,ActionComedyFantasyHorror,vampire killers
Ralph Ziman,Rapulana Seiphemo,Kenneth Nkosi,Robert Hobbs,ActionCrimeDrama,gangster's paradise: jerusalema
John Simpson,Colin Salmon,Lee Evans,Ian McNeice,CrimeDramaThriller,freeze frame
Colin Minihan,Mackenzie Gray,Sean Rogerson,Ashleigh Gryzko,Horror,grave encounters
Conor McMahon,Peter McQuinn,Tommy Knight,Jemma Curran,ComedyHorror,stitches
Chris Shadley,Daniel Baldwin,William Lee Scott,Marc Macaulay,CrimeDramaHorrorMysteryThriller,nine dead
Simon Napier-Bell,Alice Cooper,Tim Rice,Louis Walsh,Documentary,"to be frank, sinatra at 100"
Woody Allen,Woody Allen,Charlotte Rae,Louise Lasser,Comedy,bananas
Simon Yin,Paul Sheehan,Linus Roache,Kathy Uyen,Thriller,supercapitalist
